Order ID,Order Date,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD01127,2022-06-08,South,Office Supplies,Chairs,2314.21,2,0.0,160.69
ORD01460,2023-08-06,South,Office Supplies,Binders,4456.3,7,0.0,297.43
ORD00861,2022-11-08,North,Office Supplies,Phones,490.42,5,0.0,58.3
ORD01295,2022-08-29,East,Office Supplies,Accessories,4944.6,7,0.0,735.92
ORD01131,2023-03-21,North,Office Supplies,Phones,4746.37,9,0.0,490.01
ORD01096,2022-10-25,South,Technology,Phones,409.81,4,0.0,32.32
ORD01725,2022-02-05,North,Furniture,Accessories,4668.4,5,0.1,726.22
ORD01045,2022-03-25,West,Technology,Chairs,1828.4,9,0.3,133.7
ORD01639,2023-03-28,East,Office Supplies,Binders,4226.65,4,0.0,334.53
ORD00122,2023-01-20,North,Furniture,Binders,2103.55,5,0.0,220.37
ORD00467,2022-06-21,West,Technology,Phones,2215.46,5,0.0,182.07
ORD01239,2023-01-11,East,Technology,Accessories,3178.53,8,0.2,325.27
ORD00331,2023-11-16,West,Office Supplies,Tables,3876.9,4,0.0,582.48
ORD01483,2022-12-28,East,Technology,Chairs,188.27,4,0.2,25.59
ORD00088,2023-07-13,North,Technology,Phones,2973.92,7,0.0,250.21
ORD01397,2022-05-21,West,Technology,Binders,949.93,5,0.2,57.03
ORD01124,2022-04-28,South,Technology,Accessories,1742.83,6,0.0,92.27
ORD00872,2022-10-04,West,Technology,Accessories,1752.88,6,0.0,147.62
ORD01688,2023-12-27,East,Office Supplies,Phones,2355.92,6,0.0,126.24
ORD00131,2022-08-08,North,Office Supplies,Tables,1684.0,5,0.0,171.47
ORD01686,2022-01-26,East,Technology,Binders,554.66,5,0.2,31.88
ORD01333,2023-06-05,West,Office Supplies,Phones,745.23,9,0.1,91.88
ORD00770,2022-01-10,West,Office Supplies,Tables,186.52,8,0.0,20.06
ORD00344,2023-01-13,South,Furniture,Accessories,2361.84,4,0.3,105.87
ORD01516,2023-09-25,North,Technology,Chairs,4773.15,7,0.0,524.95
ORD01438,2023-09-29,North,Office Supplies,Binders,596.06,8,0.3,33.96
ORD00806,2023-11-13,West,Office Supplies,Binders,4732.4,9,0.0,719.45
ORD00386,2023-08-07,North,Technology,Tables,3672.14,5,0.2,307.48
ORD01216,2022-06-01,South,Furniture,Phones,3194.74,3,0.0,230.2
ORD00956,2023-12-21,East,Technology,Accessories,3233.48,4,0.0,331.24
ORD00277,2022-02-18,North,Furniture,Tables,4137.1,6,0.0,346.1
ORD01185,2022-06-03,West,Technology,Chairs,552.46,5,0.0,93.57
ORD00460,2022-10-20,East,Technology,Chairs,2533.68,9,0.0,500.41
ORD01338,2023-08-03,East,Technology,Chairs,3491.51,3,0.0,187.93
ORD00022,2022-02-19,South,Technology,Tables,2942.37,2,0.3,316.16
ORD00253,2023-10-26,West,Furniture,Accessories,4167.24,6,0.3,261.35
ORD00748,2023-06-15,North,Furniture,Binders,379.91,7,0.3,15.95
ORD00857,2023-09-04,West,Office Supplies,Phones,3459.69,5,0.3,126.3
ORD01585,2022-03-01,East,Technology,Binders,2679.46,1,0.1,439.26
ORD00475,2022-06-16,West,Furniture,Accessories,1908.22,3,0.3,137.64
ORD01083,2022-07-21,North,Furniture,Binders,1714.57,3,0.2,273.21
ORD00511,2022-05-26,North,Furniture,Tables,3111.75,4,0.0,362.07
ORD01706,2023-11-07,South,Technology,Chairs,4457.16,6,0.1,313.45
ORD01500,2023-03-15,North,Office Supplies,Accessories,2490.96,5,0.2,331.94
ORD00700,2022-08-30,North,Furniture,Accessories,4127.12,1,0.1,701.93
ORD00976,2023-08-04,West,Technology,Binders,2022.74,6,0.0,348.61
ORD01807,2023-11-18,West,Furniture,Tables,529.92,9,0.0,85.73
ORD00190,2023-07-15,East,Furniture,Binders,326.3,1,0.2,26.16
ORD00958,2023-04-28,South,Office Supplies,Binders,275.65,8,0.3,11.51
ORD00687,2022-04-18,West,Furniture,Accessories,1913.15,8,0.0,153.42
ORD00958,2022-08-14,North,Furniture,Binders,1699.44,3,0.0,198.87
ORD00563,2023-11-04,East,Technology,Chairs,3595.33,9,0.0,695.44
ORD01900,2023-09-23,West,Technology,Binders,3719.25,8,0.0,589.23
ORD01591,2023-10-23,South,Office Supplies,Chairs,273.25,3,0.0,47.61
ORD01268,2023-10-24,South,Technology,Accessories,1121.19,5,0.1,92.42
ORD00832,2023-03-08,East,Technology,Tables,1385.82,3,0.3,148.01
ORD01529,2023-10-17,East,Office Supplies,Chairs,2747.11,5,0.1,443.46
ORD01155,2023-02-23,East,Furniture,Tables,739.69,9,0.0,90.18
ORD01509,2023-03-31,East,Office Supplies,Tables,687.03,4,0.2,62.92
ORD01843,2022-06-09,East,Technology,Chairs,4720.07,6,0.0,745.35
ORD00647,2023-06-07,North,Office Supplies,Accessories,4024.93,3,0.0,539.29
ORD00021,2023-10-12,North,Furniture,Phones,919.66,3,0.0,182.99
ORD00841,2023-08-13,West,Office Supplies,Tables,2044.71,5,0.1,209.36
ORD00167,2022-03-18,South,Technology,Tables,1791.0,8,0.2,109.45
ORD01298,2023-05-24,North,Technology,Accessories,3959.2,8,0.2,382.59
ORD00388,2023-03-17,North,Office Supplies,Accessories,2560.86,3,0.0,218.39
ORD00601,2022-09-11,North,Furniture,Binders,656.69,8,0.0,88.12
ORD00316,2022-11-16,West,Office Supplies,Accessories,3700.18,8,0.0,254.83
ORD00014,2022-09-20,East,Furniture,Tables,1996.5,3,0.1,345.89
ORD00242,2023-08-20,West,Furniture,Chairs,1329.36,2,0.1,214.13
ORD00777,2023-10-20,South,Office Supplies,Phones,1889.98,2,0.0,138.6
ORD01370,2023-07-08,South,Furniture,Binders,2498.83,9,0.0,189.56
ORD00565,2023-01-09,South,Technology,Chairs,1728.72,7,0.3,153.52
ORD00898,2023-09-29,South,Office Supplies,Phones,1224.69,6,0.2,162.57
ORD01364,2022-06-16,North,Furniture,Phones,2004.54,7,0.0,166.1
ORD00092,2023-04-04,North,Technology,Phones,115.48,8,0.1,6.15
ORD01391,2022-10-07,West,Office Supplies,Chairs,3867.04,1,0.1,458.81
ORD00956,2023-12-01,East,Technology,Binders,871.31,8,0.0,133.95
ORD01479,2022-10-29,South,Technology,Binders,238.64,3,0.0,20.68
ORD01452,2023-06-15,West,Technology,Phones,3275.42,3,0.0,527.23
ORD00509,2023-08-03,North,Furniture,Chairs,3874.2,6,0.0,746.16
ORD00776,2022-08-06,North,Office Supplies,Phones,4072.87,4,0.1,258.65
ORD01967,2022-04-12,East,Office Supplies,Accessories,2477.68,4,0.0,313.81
ORD00035,2023-07-08,East,Furniture,Binders,1042.73,4,0.0,61.03
ORD00206,2022-10-15,East,Office Supplies,Tables,3691.39,9,0.0,299.0
ORD01105,2022-06-16,West,Technology,Phones,3504.57,8,0.0,222.45
ORD01956,2023-09-13,North,Office Supplies,Accessories,1246.43,3,0.1,124.07
ORD01586,2022-02-05,North,Furniture,Binders,4518.97,1,0.0,782.35
ORD01896,2022-12-19,East,Technology,Chairs,539.77,1,0.0,73.72
ORD01412,2023-11-07,South,Furniture,Binders,4913.79,1,0.3,286.82
ORD01026,2022-03-14,East,Technology,Chairs,4304.03,4,0.0,241.1
ORD01022,2023-10-10,West,Technology,Chairs,3445.74,6,0.1,412.49
ORD01414,2022-12-19,East,Office Supplies,Phones,4694.97,4,0.0,328.27
ORD00566,2022-03-11,East,Technology,Phones,3617.11,3,0.2,293.45
ORD01130,2023-03-01,West,Furniture,Binders,968.48,8,0.2,98.03
ORD01796,2023-12-09,East,Office Supplies,Accessories,2221.94,8,0.0,412.3
ORD01846,2023-07-15,North,Furniture,Binders,376.09,6,0.1,21.08
ORD01501,2023-10-04,South,Technology,Tables,1960.49,9,0.0,294.64
ORD00703,2023-06-01,East,Furniture,Chairs,3713.18,1,0.3,135.45
ORD00402,2023-03-04,West,Furniture,Chairs,1944.49,8,0.0,280.95
ORD00730,2023-06-23,South,Technology,Phones,1664.86,6,0.2,176.78
ORD01580,2022-06-09,West,Office Supplies,Accessories,2984.87,1,0.0,512.74
ORD00162,2022-05-29,South,Furniture,Phones,4363.58,4,0.1,509.55
ORD00202,2022-08-18,South,Technology,Tables,256.96,5,0.3,18.51
ORD01982,2023-12-13,East,Office Supplies,Binders,1939.64,7,0.2,134.09
ORD00996,2023-07-16,North,Office Supplies,Binders,808.04,8,0.0,50.73
ORD00270,2022-03-08,East,Office Supplies,Accessories,3482.86,9,0.0,453.44
ORD01887,2023-01-16,West,Furniture,Phones,546.51,6,0.0,100.15
ORD00816,2022-02-27,West,Furniture,Phones,3330.74,9,0.0,423.71
ORD01295,2022-09-16,South,Furniture,Tables,1445.18,4,0.0,232.48
ORD00456,2022-12-08,South,Office Supplies,Binders,1010.61,8,0.0,95.77
ORD01486,2022-05-10,North,Furniture,Phones,4683.04,3,0.0,548.94
ORD01751,2023-12-28,East,Technology,Accessories,112.25,4,0.0,11.08
ORD01276,2022-06-21,West,Furniture,Binders,2200.13,4,0.0,146.07
ORD01017,2023-09-06,South,Furniture,Tables,127.7,6,0.0,14.37
ORD01726,2022-07-28,North,Office Supplies,Accessories,2428.29,9,0.0,399.8
ORD00296,2022-12-20,West,Furniture,Chairs,2515.22,6,0.1,247.3
ORD01749,2023-04-16,South,Technology,Tables,1621.88,1,0.0,239.27
ORD00720,2022-04-26,West,Office Supplies,Accessories,678.17,5,0.0,111.08
ORD01773,2022-09-21,North,Technology,Phones,1894.41,9,0.0,186.43
ORD00338,2023-10-24,North,Office Supplies,Chairs,3367.87,5,0.0,571.28
ORD00879,2023-03-18,West,Office Supplies,Tables,3916.33,6,0.1,355.43
ORD01077,2023-07-02,East,Furniture,Phones,2663.14,3,0.0,235.46
ORD00792,2023-03-29,West,Technology,Chairs,2957.38,8,0.0,246.55
ORD01946,2023-04-22,South,Office Supplies,Binders,1019.07,4,0.2,65.21
ORD00217,2022-10-14,East,Furniture,Phones,1450.91,4,0.3,163.08
ORD00764,2022-10-30,South,Office Supplies,Accessories,826.24,5,0.0,151.31
ORD00188,2022-11-07,West,Office Supplies,Tables,1261.49,9,0.0,106.72
ORD00380,2022-07-27,East,Office Supplies,Chairs,1139.94,8,0.0,71.57
ORD00493,2023-09-10,South,Office Supplies,Phones,2606.85,7,0.0,253.03
ORD01065,2023-03-22,West,Office Supplies,Binders,2822.19,5,0.0,419.59
ORD01181,2023-11-01,West,Office Supplies,Tables,4725.84,9,0.1,447.77
ORD00015,2023-09-25,East,Furniture,Tables,993.94,9,0.0,131.57
ORD01837,2022-02-24,West,Office Supplies,Phones,3215.55,2,0.2,415.82
ORD00065,2022-01-12,North,Technology,Binders,4089.95,4,0.0,455.1
ORD01881,2023-10-19,South,Furniture,Chairs,2810.0,8,0.0,561.87
ORD01863,2023-02-04,South,Technology,Phones,1289.92,1,0.1,109.93
ORD00521,2023-10-10,West,Office Supplies,Chairs,1327.5,5,0.0,261.17
ORD01368,2023-05-30,West,Technology,Tables,215.48,8,0.0,17.34
ORD01153,2023-10-18,North,Office Supplies,Chairs,1541.11,2,0.0,102.7
ORD00648,2023-06-26,East,Office Supplies,Binders,3728.13,2,0.0,606.29
ORD01496,2022-08-25,West,Furniture,Accessories,256.64,8,0.0,39.87
ORD01087,2022-10-06,West,Furniture,Binders,1112.09,9,0.0,190.92
ORD01163,2022-12-14,West,Office Supplies,Chairs,3537.04,7,0.0,359.15
ORD01523,2023-09-19,West,Furniture,Phones,3917.6,8,0.0,742.86
ORD00593,2022-04-14,South,Technology,Tables,2287.49,5,0.3,108.76
ORD00392,2023-09-22,West,Furniture,Accessories,3496.41,1,0.0,190.7
ORD01699,2023-06-01,South,Furniture,Phones,1952.0,4,0.0,185.61
ORD00419,2022-09-05,West,Technology,Phones,816.37,2,0.3,96.92
ORD00289,2022-12-30,East,Furniture,Binders,2002.78,3,0.1,272.08
ORD00379,2022-11-17,North,Office Supplies,Chairs,2908.24,3,0.0,335.7
ORD01797,2023-09-25,East,Technology,Binders,4741.31,9,0.0,419.31
ORD01514,2022-10-13,West,Office Supplies,Chairs,362.38,4,0.1,19.21
ORD00231,2022-05-29,West,Technology,Binders,2546.82,2,0.0,256.28
ORD01018,2022-03-25,West,Office Supplies,Phones,1658.02,3,0.1,177.58
ORD00041,2023-02-10,East,Office Supplies,Tables,2551.39,3,0.3,273.35
ORD01052,2023-04-01,West,Furniture,Chairs,139.4,7,0.0,20.48
ORD00135,2022-06-10,East,Office Supplies,Accessories,1578.87,8,0.0,303.3
ORD00201,2023-04-05,South,Furniture,Accessories,4102.94,6,0.1,240.24
ORD01864,2023-07-04,North,Technology,Phones,2778.63,4,0.0,279.12
ORD00780,2023-05-15,North,Office Supplies,Binders,2263.9,6,0.0,276.73
ORD00930,2023-05-24,East,Office Supplies,Binders,1441.91,1,0.0,217.16
ORD01057,2023-10-16,South,Technology,Phones,1504.25,8,0.1,168.3
ORD01072,2023-04-26,East,Technology,Accessories,1927.85,1,0.0,360.34
ORD00503,2023-10-25,South,Office Supplies,Accessories,4181.14,5,0.3,413.56
ORD00407,2022-04-24,West,Technology,Binders,4836.72,2,0.2,216.49
ORD01598,2023-08-01,South,Furniture,Chairs,2204.5,6,0.0,147.81
ORD01752,2022-12-27,South,Technology,Tables,1978.9,9,0.1,290.35
ORD00805,2022-12-07,South,Technology,Chairs,4235.82,5,0.0,666.58
ORD00099,2023-03-25,North,Office Supplies,Accessories,2145.99,4,0.1,141.04
ORD00684,2022-06-29,South,Furniture,Chairs,2769.05,2,0.0,162.92
ORD01896,2023-12-03,West,Technology,Tables,1170.09,3,0.0,160.08
ORD00726,2023-02-11,West,Furniture,Chairs,3722.64,6,0.1,487.01
ORD01571,2023-10-28,West,Furniture,Chairs,2669.3,8,0.0,187.64
ORD00961,2022-07-15,South,Furniture,Chairs,4048.99,8,0.2,392.08
ORD01763,2023-04-11,East,Office Supplies,Chairs,3908.05,5,0.1,337.21
ORD00613,2022-11-07,East,Technology,Phones,1090.72,5,0.0,206.91
